	readNum	animal
0	read=14750	Nerodia_fasciata_wild_capture
1	read=7291	Nerodia_fasciata_wild_capture
2	read=21764	Nerodia_fasciata_wild_capture
3	read=28414	Nerodia_fasciata_wild_capture
4	read=48784	Nerodia_fasciata_wild_capture
5	read=7381	Nerodia_fasciata_wild_capture
6	read=42346	Nerodia_fasciata_wild_capture
7	read=26774	Nerodia_fasciata_wild_capture
8	read=59335	Nerodia_fasciata_wild_capture
9	read=13975	Nerodia_fasciata_wild_capture
10	read=88820	Nerodia_fasciata_wild_capture
11	read=70070	Nerodia_fasciata_wild_capture
12	read=5555	Nerodia_fasciata_wild_capture
13	read=41320	Nerodia_fasciata_wild_capture
14	read=22007	Nerodia_fasciata_wild_capture
15	read=11475	Nerodia_fasciata_wild_capture
16	read=22901	Nerodia_fasciata_wild_capture
17	read=8259	Nerodia_fasciata_wild_capture
18	read=21826	Nerodia_fasciata_wild_capture
19	read=17570	Nerodia_fasciata_wild_capture
20	read=15127	Nerodia_fasciata_wild_capture
21	read=56062	Nerodia_fasciata_wild_capture
22	read=3913	Nerodia_fasciata_wild_capture
23	read=15811	Nerodia_fasciata_wild_capture
24	read=12867	Nerodia_fasciata_wild_capture
25	read=56137	Nerodia_fasciata_wild_capture
26	read=10964	Nerodia_fasciata_wild_capture
27	read=6209	Nerodia_fasciata_wild_capture
28	read=58148	Nerodia_fasciata_wild_capture
29	read=35083	Nerodia_fasciata_wild_capture
30	read=21278	Nerodia_fasciata_wild_capture
31	read=39780	Nerodia_fasciata_wild_capture
32	read=18934	Nerodia_fasciata_wild_capture
33	read=42623	Nerodia_fasciata_wild_capture
34	read=15962	Nerodia_fasciata_wild_capture
35	read=24510	Nerodia_fasciata_wild_capture
36	read=8102	Nerodia_fasciata_wild_capture
37	read=50071	Nerodia_fasciata_wild_capture
38	read=22966	Nerodia_fasciata_wild_capture
39	read=885	Nerodia_fasciata_wild_capture
40	read=27614	Nerodia_fasciata_wild_capture
41	read=55848	Nerodia_fasciata_wild_capture
42	read=46505	Nerodia_fasciata_wild_capture
43	read=6787	Nerodia_fasciata_wild_capture
44	read=34647	Nerodia_fasciata_wild_capture
